user_id,sku_id,time,type,count,date_diff,date
200001,20308,2016-03-27 19:54:00,4,1,57,2016-03-27
200005,72967,2016-02-23 23:00:00,4,1,24,2016-02-23
200015,168842,2016-03-28 10:58:00,4,1,58,2016-03-28
200020,75877,2016-03-04 16:58:00,4,1,34,2016-03-04
200028,5235,2016-03-21 08:51:00,4,1,51,2016-03-21
200032,99491,2016-02-06 11:22:00,4,1,7,2016-02-06
200034,21457,2016-04-14 08:18:00,4,1,75,2016-04-14
200037,60533,2016-02-27 19:26:00,4,1,28,2016-02-27
200043,8648,2016-03-12 00:45:00,4,1,41,2016-03-11
200049,33186,2016-04-10 10:14:00,4,1,71,2016-04-10
200054,28276,2016-04-14 08:22:00,4,1,75,2016-04-14
200055,111453,2016-03-11 10:50:00,4,1,41,2016-03-11
200062,124470,2016-02-27 15:31:00,4,1,28,2016-02-27
200063,103350,2016-03-07 03:08:00,4,1,36,2016-03-06
200067,153395,2016-03-11 21:06:00,4,1,41,2016-03-11
200074,148856,2016-03-04 14:49:00,4,1,34,2016-03-04
200085,28276,2016-03-07 19:12:00,4,1,37,2016-03-07
200091,113963,2016-03-31 20:37:00,4,1,61,2016-03-31
200093,33726,2016-03-14 17:51:00,4,1,44,2016-03-14
200098,26179,2016-02-26 00:00:00,4,1,26,2016-02-25
200100,89103,2016-03-13 08:32:00,4,1,43,2016-03-13
200116,71801,2016-02-05 10:42:00,4,1,6,2016-02-05
200122,103372,2016-02-28 16:28:00,4,1,29,2016-02-28
200127,7196,2016-03-24 17:26:00,4,1,54,2016-03-24
200131,21159,2016-02-19 16:00:00,4,1,20,2016-02-19
200139,56550,2016-02-04 14:24:00,4,1,5,2016-02-04
200141,45678,2016-03-25 19:42:00,4,1,55,2016-03-25
200143,646,2016-02-23 22:38:00,4,1,24,2016-02-23
200144,81515,2016-02-26 20:10:00,4,1,27,2016-02-26
200145,38604,2016-03-14 18:27:00,4,1,44,2016-03-14
200154,44854,2016-04-09 09:39:00,4,1,70,2016-04-09
200155,141226,2016-02-21 12:34:00,4,1,22,2016-02-21
200156,79405,2016-03-22 23:24:00,4,1,52,2016-03-22
200165,10598,2016-03-07 18:01:00,4,1,37,2016-03-07
200185,27582,2016-02-05 18:12:00,4,1,6,2016-02-05
200190,25003,2016-04-14 23:36:00,4,1,75,2016-04-14
200214,36638,2016-02-12 18:36:00,4,1,13,2016-02-12
200222,68718,2016-02-23 08:18:00,4,1,24,2016-02-23
200228,166624,2016-04-02 16:30:00,4,1,63,2016-04-02
200230,145946,2016-03-15 20:26:00,4,1,45,2016-03-15
200234,90338,2016-04-04 21:16:00,4,1,65,2016-04-04
200240,75018,2016-03-11 13:00:00,4,1,41,2016-03-11
200246,58011,2016-03-14 10:00:00,4,1,44,2016-03-14
200251,110904,2016-03-16 08:09:00,4,1,46,2016-03-16
200252,148209,2016-03-17 14:27:00,4,1,47,2016-03-17
200254,81197,2016-02-08 21:37:00,4,1,9,2016-02-08
200257,116318,2016-03-15 19:22:00,4,1,45,2016-03-15
200260,132457,2016-03-16 07:30:00,4,1,46,2016-03-16
200276,124413,2016-03-27 11:33:00,4,1,57,2016-03-27
200279,65145,2016-02-15 13:13:00,4,1,16,2016-02-15
200283,153051,2016-03-14 00:03:00,4,1,43,2016-03-13
200287,78508,2016-03-07 09:59:00,4,1,37,2016-03-07
200299,154636,2016-03-01 15:31:00,4,1,31,2016-03-01
200300,142936,2016-04-04 12:55:00,4,1,65,2016-04-04
200303,140807,2016-03-27 16:30:00,4,1,57,2016-03-27
200304,144549,2016-04-05 17:34:00,4,1,66,2016-04-05
200319,31662,2016-04-08 09:38:00,4,1,69,2016-04-08
200320,646,2016-02-26 13:11:00,4,1,27,2016-02-26
200328,83325,2016-04-07 08:02:00,4,1,68,2016-04-07
200333,67241,2016-04-13 00:44:00,4,1,73,2016-04-12
200336,96959,2016-04-02 13:17:00,4,1,63,2016-04-02
200337,22359,2016-03-19 23:26:00,4,1,49,2016-03-19
200343,79309,2016-02-25 21:59:00,4,1,26,2016-02-25
200345,24679,2016-03-11 12:23:00,4,1,41,2016-03-11
200348,108328,2016-03-22 13:23:00,4,1,52,2016-03-22
200359,40491,2016-02-01 20:33:00,4,1,2,2016-02-01
200394,94373,2016-03-05 14:19:00,4,1,35,2016-03-05
200398,161561,2016-04-09 09:43:00,4,1,70,2016-04-09
200404,75679,2016-02-18 11:26:00,4,1,19,2016-02-18
200407,75018,2016-04-01 10:14:00,4,1,62,2016-04-01
