sku_id,browse_num,addcart_num,delcart_num,buy_num,favor_num,click_num,cart2buy,browse2buy,click2buy,favor2buy
2,55.0,0.0,0.0,0.0,0.0,79.0,0.0,0.0,0.0,0.0
18,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
36,107.0,4.0,0.0,0.0,1.0,186.0,0.0,0.0,0.0,0.0
37,5.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0
40,79.0,2.0,2.0,0.0,0.0,179.0,0.0,0.0,0.0,0.0
41,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
43,336.0,1.0,1.0,0.0,2.0,524.0,0.0,0.0,0.0,0.0
45,3.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
47,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
50,1202.0,20.0,13.0,1.0,2.0,1550.0,0.05,0.000831946755408,0.000645161290323,0.5
52,1113.0,19.0,13.0,1.0,4.0,1626.0,0.0526315789474,0.000898472596586,0.000615006150062,0.25
58,60.0,2.0,0.0,0.0,0.0,95.0,0.0,0.0,0.0,0.0
67,49.0,0.0,0.0,0.0,0.0,109.0,0.0,0.0,0.0,0.0
68,167.0,0.0,0.0,0.0,0.0,802.0,0.0,0.0,0.0,0.0
71,23.0,1.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0
85,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
87,41.0,4.0,0.0,1.0,0.0,75.0,0.25,0.0243902439024,0.0133333333333,1.0
95,472.0,6.0,2.0,1.0,5.0,755.0,0.166666666667,0.0021186440678,0.00132450331126,0.2
124,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131,38.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0
139,38.0,1.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0
142,6.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0
149,17.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0
156,8436.0,195.0,72.0,18.0,44.0,12423.0,0.0923076923077,0.00213371266003,0.00144892538034,0.409090909091
163,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
169,5547.0,131.0,76.0,3.0,35.0,8550.0,0.0229007633588,0.000540832882639,0.000350877192982,0.0857142857143
181,40.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0,0.0
194,16.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0
195,18.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0
204,3.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
205,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
206,263.0,10.0,5.0,0.0,2.0,459.0,0.0,0.0,0.0,0.0
211,6371.0,193.0,101.0,23.0,43.0,9955.0,0.119170984456,0.00361010830325,0.00231039678553,0.53488372093
212,8.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0
223,29.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0
227,40.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0
228,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
243,38.0,1.0,0.0,0.0,1.0,58.0,0.0,0.0,0.0,0.0
244,77.0,0.0,0.0,0.0,0.0,88.0,0.0,0.0,0.0,0.0
251,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
260,18.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0,0.0
264,29.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0
275,595.0,13.0,4.0,1.0,6.0,814.0,0.0769230769231,0.00168067226891,0.0012285012285,0.166666666667
276,6043.0,111.0,54.0,6.0,20.0,10469.0,0.0540540540541,0.000992884328976,0.000573120641895,0.3
279,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
281,5432.0,77.0,25.0,18.0,29.0,7611.0,0.233766233766,0.00331369661267,0.00236499802917,0.620689655172
285,443.0,8.0,6.0,1.0,2.0,721.0,0.125,0.00225733634312,0.00138696255201,0.5
296,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
299,110.0,8.0,3.0,0.0,0.0,194.0,0.0,0.0,0.0,0.0
301,131.0,0.0,0.0,0.0,0.0,213.0,0.0,0.0,0.0,0.0
309,71.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
312,582.0,2.0,1.0,0.0,12.0,922.0,0.0,0.0,0.0,0.0
